"attribute";"mean_score";"model";"variety"
"age";46,5;"Claude-4.5-sonnet";"Standaardnederlands"
"age";23,109649122807;"Claude-4.5-sonnet";"Straattaal"
"ethnicity";69,95;"Claude-4.5-sonnet";"Standaardnederlands"
"ethnicity";19,7521367521368;"Claude-4.5-sonnet";"Straattaal"
"gender";49,4583333333333;"Claude-4.5-sonnet";"Standaardnederlands"
"gender";26;"Claude-4.5-sonnet";"Straattaal"
"location";72,3333333333333;"Claude-4.5-sonnet";"Standaardnederlands"
"location";85,3333333333333;"Claude-4.5-sonnet";"Straattaal"
"rating";64,8717948717949;"Claude-4.5-sonnet";"Standaardnederlands"
"rating";50,8869583869584;"Claude-4.5-sonnet";"Straattaal"
"social_class";71,1416666666667;"Claude-4.5-sonnet";"Standaardnederlands"
"social_class";25,4166666666667;"Claude-4.5-sonnet";"Straattaal"
"age";53,6666666666667;"Gemma3-12B";"Standaardnederlands"
"age";24,6111111111111;"Gemma3-12B";"Straattaal"
"ethnicity";63,2539682539683;"Gemma3-12B";"Standaardnederlands"
"ethnicity";64,5238095238095;"Gemma3-12B";"Straattaal"
"gender";45;"Gemma3-12B";"Standaardnederlands"
"gender";25,8326118326118;"Gemma3-12B";"Straattaal"
"location";63,5833333333333;"Gemma3-12B";"Standaardnederlands"
"location";82,2222222222222;"Gemma3-12B";"Straattaal"
"rating";68,3333333333333;"Gemma3-12B";"Standaardnederlands"
"rating";60,8333333333333;"Gemma3-12B";"Straattaal"
"social_class";74,0476190476191;"Gemma3-12B";"Standaardnederlands"
"social_class";33,5714285714286;"Gemma3-12B";"Straattaal"
"age";52,9333333333333;"Gemma3-27B";"Standaardnederlands"
"age";61,4666666666667;"Gemma3-27B";"Straattaal"
"ethnicity";75,9325396825397;"Gemma3-27B";"Standaardnederlands"
"ethnicity";36,2;"Gemma3-27B";"Straattaal"
"gender";47,2395833333333;"Gemma3-27B";"Standaardnederlands"
"gender";53,015873015873;"Gemma3-27B";"Straattaal"
"location";61,1111111111111;"Gemma3-27B";"Standaardnederlands"
"location";68,7698412698413;"Gemma3-27B";"Straattaal"
"rating";73,0416666666667;"Gemma3-27B";"Standaardnederlands"
"rating";49,8630952380952;"Gemma3-27B";"Straattaal"
"social_class";73,6666666666667;"Gemma3-27B";"Standaardnederlands"
"social_class";29,7222222222222;"Gemma3-27B";"Straattaal"
"age";53,4534585385878;"GPT-5-mini";"Standaardnederlands"
"age";19,6652846027846;"GPT-5-mini";"Straattaal"
"ethnicity";54,088122605364;"GPT-5-mini";"Standaardnederlands"
"ethnicity";8,5;"GPT-5-mini";"Straattaal"
"gender";46,224453024453;"GPT-5-mini";"Standaardnederlands"
"gender";27,7308966861598;"GPT-5-mini";"Straattaal"
"location";12,8257153474545;"GPT-5-mini";"Standaardnederlands"
"location";36,6717171717172;"GPT-5-mini";"Straattaal"
"rating";42,7304347826087;"GPT-5-mini";"Standaardnederlands"
"rating";26,0731492969396;"GPT-5-mini";"Straattaal"
"social_class";67,0386119257087;"GPT-5-mini";"Standaardnederlands"
"social_class";14,3902073732719;"GPT-5-mini";"Straattaal"
"age";44,6583333333333;"GPT-5.1";"Standaardnederlands"
"age";22,9916666666667;"GPT-5.1";"Straattaal"
"ethnicity";81,25;"GPT-5.1";"Standaardnederlands"
"ethnicity";31,6083333333333;"GPT-5.1";"Straattaal"
"gender";47,147619047619;"GPT-5.1";"Standaardnederlands"
"gender";37,8833333333333;"GPT-5.1";"Straattaal"
"location";78,1916666666667;"GPT-5.1";"Standaardnederlands"
"location";84,8083333333333;"GPT-5.1";"Straattaal"
"rating";77,4333333333333;"GPT-5.1";"Standaardnederlands"
"rating";67,5666666666667;"GPT-5.1";"Straattaal"
"social_class";78,1916666666667;"GPT-5.1";"Standaardnederlands"
"social_class";33,5833333333333;"GPT-5.1";"Straattaal"
"age";50;"Llama-4-Maverick";"Standaardnederlands"
"age";26,3630446303081;"Llama-4-Maverick";"Straattaal"
"ethnicity";76,3461538461538;"Llama-4-Maverick";"Standaardnederlands"
"ethnicity";40,5338164251208;"Llama-4-Maverick";"Straattaal"
"gender";51,4583333333333;"Llama-4-Maverick";"Standaardnederlands"
"gender";25,981351981352;"Llama-4-Maverick";"Straattaal"
"location";70,2645074224022;"Llama-4-Maverick";"Standaardnederlands"
"location";70,9533468559838;"Llama-4-Maverick";"Straattaal"
"rating";65,046956046956;"Llama-4-Maverick";"Standaardnederlands"
"rating";54,5695970695971;"Llama-4-Maverick";"Straattaal"
"social_class";73,0833333333333;"Llama-4-Maverick";"Standaardnederlands"
"social_class";20,5592463092463;"Llama-4-Maverick";"Straattaal"
"age";54,8333333333333;"Qwen3-30B";"Standaardnederlands"
"age";71,2916666666667;"Qwen3-30B";"Straattaal"
"ethnicity";69;"Qwen3-30B";"Standaardnederlands"
"ethnicity";86,5;"Qwen3-30B";"Straattaal"
"gender";51,0416666666667;"Qwen3-30B";"Standaardnederlands"
"gender";61,25;"Qwen3-30B";"Straattaal"
"location";66;"Qwen3-30B";"Standaardnederlands"
"location";87,5833333333333;"Qwen3-30B";"Straattaal"
"rating";73,1666666666667;"Qwen3-30B";"Standaardnederlands"
"rating";82,7083333333333;"Qwen3-30B";"Straattaal"
"social_class";65;"Qwen3-30B";"Standaardnederlands"
"social_class";75,0416666666667;"Qwen3-30B";"Straattaal"
