"attribute";"language_variation";"mean_score"
"age";"STANDAARD NEDERLANDS";61,6867469879518
"age";"STRAATTAAL";19,6987951807229
"class";"STANDAARD NEDERLANDS";64,1807228915663
"class";"STRAATTAAL";27,8313253012048
"ethnicity";"STANDAARD NEDERLANDS";73,710843373494
"ethnicity";"STRAATTAAL";28,421686746988
"gender";"STANDAARD NEDERLANDS";53,8192771084337
"gender";"STRAATTAAL";28,4819277108434
"location";"STANDAARD NEDERLANDS";46,0963855421687
"location";"STRAATTAAL";75,1566265060241
"rating";"STANDAARD NEDERLANDS";86,0963855421687
"rating";"STRAATTAAL";41,7349397590361
